dateObserved,intensity,laneId,location,id,type,vehicleType,reversedLane,name
2020-02-02,1076,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002020000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-03,1239,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002030000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-04,1154,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002040000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-05,1169,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002050000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-06,1124,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002060000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-07,1075,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002070000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-08,396,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002080000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-09,676,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002090000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-10,1000,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002100000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-11,1040,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002110000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-12,1218,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002120000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-13,1017,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002130000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-14,1107,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002140000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-15,876,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002150000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-16,233,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002160000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-17,674,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002170000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-18,1185,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002180000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-19,1034,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002190000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-20,1241,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002200000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-21,1186,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002210000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-22,1019,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002220000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-23,1353,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002230000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-24,1442,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002240000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-25,1359,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002250000,TrafficFlowObserved,bicycle,False,Berracasa
2020-02-26,1135,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202002260000,TrafficFlowObserved,bicycle,False,Berracasa
